track_name,artistas,track_popularity,track_album_name,playlist_genre,playlist_subgenre,followers,popularity,imagem_artista_url
Eternally,Marwan Soulflow,28,Eternal,r&b,neo soul,,,
Toi Et Moi,Paradis,57,Recto Verso,rock,permanent wave,,,
"It's A Man's, Man's, Man's World",James Brown,51,20 All-Time Greatest Hits!,r&b,neo soul,,,
Dance With Me (Get On The Floor),Brotherhood Creed,4,Helluva,r&b,new jack swing,,,
Wicked Games,The Hot Damns,49,The Hot Damns,rap,southern hip hop,,,
Nice & Slow,Usher,63,My Way,r&b,hip pop,7623346.0,82.0,https://i.scdn.co/image/59790a2ffc64b4e3823a3758c622af25bc794d23
Renegade,The Anix,44,Renegade,rock,hard rock,,,
Shorty,Jerry Di,57,Shorty,latin,reggaeton,,,
I Don't Wanna Be Funny Anymore,Lucy Dacus,57,No Burden,pop,dance pop,,,
One Kiss - Oliver Heldens Remix,Calvin Harris,5,One Kiss (Remixes),edm,progressive electro house,19909725.0,87.0,https://i.scdn.co/image/1fd90cd274102d458ec3a9243ced32e659738133
Liquid Swords,GZA,59,Liquid Swords,rap,southern hip hop,274109.0,61.0,https://i.scdn.co/image/99b354cef6f088bc6d5400fffee5095b2a038cfe
Gold,Kiiara,61,Gold,pop,indie poptimism,660297.0,68.0,https://i.scdn.co/image/ae180a269ec2b4dc811abe134628115ffb2a828b
Children of the New Dawn,Jóhann Jóhannsson,14,Children of the New Dawn (Single from the Mandy Original Motion Picture Soundtrack),pop,electropop,,,
Crema,Owin,43,Crema,rap,trap,,,
I Need a Girl (Pt. One) (feat. Usher & Loon),Diddy,64,R&B Hits,r&b,hip pop,954324.0,75.0,https://i.scdn.co/image/605b9f65fff2dee52625aac975d146f13cc6bf1d
Paloma Negra,Chavela Vargas,47,Chavela Vargas,r&b,urban contemporary,,,
Zumba,Don Omar,57,Don Omar Presents MTO2: New Generation,latin,reggaeton,4036436.0,81.0,https://i.scdn.co/image/043aa595a838e80632c902d8397cb3232f299566
Sorry,Justin Bieber,81,Purpose (Deluxe),pop,post-teen pop,34403677.0,95.0,https://i.scdn.co/image/d745628f6659a715f0f69eed1508805849796e5e
All Day and All of the Night,The Kinks,15,Kinks (Deluxe Edition),rock,album rock,,,
Gloria (feat. Andy Reznik) - Extended Mix,PH Electro,0,Gloria (feat. Andy Reznik),edm,progressive electro house,,,
Gold Digger,Kanye West,17,Late Registration,rap,southern hip hop,11565597.0,90.0,https://i.scdn.co/image/bd1c6fdf3705cf9b7d0c8ac8e7bbed98e31a1559
SIN TI,Young Cister,62,SIN TI,latin,latin hip hop,,,
All Night,Parov Stelar,56,The Art Of Sampling (Deluxe Version),edm,electro house,,,
Don't Touch Me - Original Mix,Melih Aydogan,33,Don't Touch Me,edm,electro house,,,
Am I Wrong (feat. ScHoolboy Q),Anderson .Paak,60,Malibu,rap,southern hip hop,1404131.0,79.0,https://i.scdn.co/image/4f7b3e759d12f5c996f07b6b9d082ff35ced0031
Lights Up,Harry Styles,74,Lights Up,r&b,urban contemporary,6875023.0,90.0,https://i.scdn.co/image/b2163e7456f3d618a0e2a4e32bc892d6b11ce673
Sola,Luis Fonsi,62,VIDA,latin,latin pop,8340829.0,80.0,https://i.scdn.co/image/6004641991ca63396cccdd8553f9120d69ea58d0
Grow Up - Martin Jensen Remix,Olly Murs,45,Grow Up (Remixes),edm,pop edm,2725508.0,71.0,https://i.scdn.co/image/fc0cba7db5a433b7699bfe6987aec316f068d6ca
Ya No Quieras Comprenderlo Todo,Javiera Mena,18,Varias Artistas - Se Puede,pop,electropop,,,
Oye Mujer,Raymix,66,Oye Mujer,latin,tropical,,,
There You Are,ZAYN,72,Icarus Falls,pop,electropop,11311401.0,83.0,https://i.scdn.co/image/90e30d448412c75b896da19a68db1da01ed99133
Knockin' On Heaven's Door,Guns N' Roses,15,Use Your Illusion II,rock,classic rock,16386563.0,82.0,https://i.scdn.co/image/80920b4fc80b6d970e2934eb8abe27014fc60632
Mi Like It,D'Koncep,22,Mi Like It - Single,latin,latin hip hop,,,
Sun Chaser,No Mana,36,14UP,edm,electro house,,,
Addicted,Amy Winehouse,51,Back To Black,r&b,neo soul,,,
Fall Again,Arcando,13,Hardwell On Air - Best of January 2019 (Part 1),edm,big room,,,
Can't Anybody See,Maha Quest,42,Parallels EP,edm,electro house,,,
X Ray,Chris Goldarg,15,Room 679,edm,electro house,,,
Just Like Heaven,The Cure,13,Kiss Me Kiss Me Kiss Me,pop,electropop,,,
Silence - Tiësto's Big Room Remix,Marshmello,58,Silence (Tiësto's Big Room Remix),edm,electro house,23115050.0,87.0,https://i.scdn.co/image/b754b1d11330212a515390688aa2e08d09edb97a
