track_name,artistas,track_popularity,track_album_name,playlist_genre,playlist_subgenre,followers,popularity,imagem_artista_url
Throne,Bring Me The Horizon,68,That's The Spirit,rock,hard rock,2884377.0,77.0,https://i.scdn.co/image/b62d0034006e7ed561bf7747c058964edf0fdf84
First Off (feat. Travis Scott),Future,69,Future Hndrxx Presents: The WIZRD,rap,trap,8603164.0,91.0,https://i.scdn.co/image/287c505d7b76d3971a8c5b2fbb3935f9b2dbc3ce
Eye of the Tiger,The Rural Alberta Advantage,8,Drain The Blood b/w Eye Of The Tiger,r&b,hip pop,,,
Turn The Music Up! - Radio Edit,Wildstylez,22,Turn The Music Up!,edm,big room,,,
Paint California,NoMBe,53,Paint California,rock,permanent wave,,,
2 Schüsse in die Luft,Baba Saad,21,Yayo Tape II,rap,gangster rap,,,
Heartbeat - Original Mix,John Dahlbäck,0,Heartbeat,edm,big room,,,
Suave - Remix,Jey Blessing,70,Suave (Remix),latin,latin pop,,,
Evidencia,Baby Rasta & Gringo,61,Evidencia,rap,trap,,,
In the Moment,Silo,36,In the Moment - EP,r&b,neo soul,,,
La Paleta (feat. C-Kan),MC Davo,60,La Paleta (feat. C-Kan),rap,hip hop,,,
Chant To Mother Earth,BLO,31,Phases 1972-1982,rock,classic rock,,,
Mustapha - Remastered 2011,Queen,43,Jazz (2011 Remaster),rock,album rock,25221186.0,89.0,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982
Flaws,Bastille,51,Bad Blood,pop,post-teen pop,4237513.0,81.0,https://i.scdn.co/image/7fd538c4aa21542d840e17773e6c8802196d1c4d
La Vida Entera,Camila,65,La Vida Entera,latin,latin pop,,,
Good Idea,SLATIN,38,Good Idea,edm,electro house,,,
Jealous,Beyoncé,55,BEYONCÉ [Platinum Edition],rap,southern hip hop,22612079.0,88.0,https://i.scdn.co/image/9fef2047e4e3f05031807d5fa9e121b7862ba259
Liquid Blue,The.madpix.project,24,Liquid Blue,pop,electropop,,,
Al Filo de Tu Amor,Carlos Vives,4,Al Filo de Tu Amor,latin,latin pop,3762829.0,74.0,https://i.scdn.co/image/88a422901eeafffce1c744202597b7dcf37fa7c2
Contigo Quiero Estar,Mark Cast,47,Contigo Quiero Estar,latin,latin pop,,,
MidStation,the.lazyb,42,Immerse,rap,hip hop,,,
Back To Back,Drake,69,Back To Back,rap,gangster rap,46297755.0,98.0,https://i.scdn.co/image/012ecd119617ac24ab56620ace4b81735b172686
I Got the Keys (feat. Jay-Z & Future),DJ Khaled,53,I Got the Keys (feat. Jay-Z & Future),latin,latin hip hop,4671610.0,78.0,https://i.scdn.co/image/94e2383b16d3a8f0af23b45ab9edd767b4107bbf
Look At Her Now,Selena Gomez,86,Look At Her Now,r&b,hip pop,20346451.0,89.0,https://i.scdn.co/image/dc6dd5ccdccee8c947b41af13e3b60ce0a235708
Won't Trade,Q-Tip,30,The Renaissance,rap,gangster rap,,,
drive all night,joan,50,drive all night,pop,indie poptimism,,,
It's You - Ron Basejam Remix,The White Lamp,0,It's You,edm,progressive electro house,,,
Broken,Lund,77,Broken,rap,trap,,,
Feeling Right (Everything Is Nice) (feat. Popcaan & Wale),Matoma,41,Feeling Right (Everything Is Nice) [feat. Popcaan & Wale],pop,indie poptimism,604753.0,73.0,https://i.scdn.co/image/268ac98b3b94c60dca9bf46ee5bc275df706c30e
I Don't Care (with Justin Bieber),Ed Sheeran,90,I Don't Care (with Justin Bieber),latin,latin hip hop,62638197.0,94.0,https://i.scdn.co/image/f55cab0739390cf3b2c2f773b9c779b2f0ae8a99
If You're Gonna Lie,FLETCHER,66,you ruined new york city for me,pop,indie poptimism,214138.0,71.0,https://i.scdn.co/image/3c4bdb8380f9d9065cba040f3716f84669e9b6ef
Our Show,Ericé,39,Our Show,latin,tropical,,,
"Class-Sikh Maut, Vol. II",Prabh Deep,45,"Class-Sikh Maut, Vol. II",rap,hip hop,,,
Shimmy Shimmy Ya,Ol' Dirty Bastard,1,Rhino Hi-Five: Ol' Dirty Bastard,rap,gangster rap,,,
Electric Love,BØRNS,75,Dopamine,pop,indie poptimism,,,
"Pekeño 77: Bzrp Music Sessions, Vol. 5",Bizarrap,42,"Pekeño 77: Bzrp Music Sessions, Vol. 5",rap,trap,879299.0,78.0,https://i.scdn.co/image/c2ce59dc0f1b49ce094f7fc6ba1cb23b7854c46a
Ridin' the Storm Out,REO Speedwagon,47,Ridin' the Storm Out,rock,album rock,,,
Kryptonite,3 Doors Down,77,The Better Life,rock,permanent wave,,,
Breathe,T-Mass,32,Breathe,rap,trap,,,
Closer (feat. Halsey),The Chainsmokers,85,Closer (feat. Halsey),pop,post-teen pop,15949888.0,88.0,https://i.scdn.co/image/960547a625bc2eb742bb3dd170cbc049d2e94cf9
Black Horse And The Cherry Tree,KT Tunstall,59,Eye To The Telescope,rock,album rock,,,
Airplanes,Local Natives,49,Gorilla Manor,pop,dance pop,,,
Money Maker - Mike Williams Remix,Throttle,0,Money Maker (Remixes),edm,electro house,,,
Attention,Charlie Puth,23,Attention,pop,dance pop,10070721.0,82.0,https://i.scdn.co/image/6402030b18deb0ba5d7cdbf2e6727a1f36c86030
Disimulas,Alex Rose,57,LOST,rap,trap,1276482.0,79.0,https://i.scdn.co/image/2b0bf8bf23f55c76090cde006b99dd0cca67a872
"Para, Money, E's",JIGGO,66,"Para, Money, E's",rap,hip hop,,,
Verbania,Wun Two,44,Verbania,rap,hip hop,,,
Whistle,Flo Rida,76,Wild Ones,edm,pop edm,7560177.0,80.0,https://i.scdn.co/image/2d0b5f483c7ed95b7c3c63147c3d38f9366b2c21
Loving Is Easy,Rex Orange County,80,Loving Is Easy,pop,indie poptimism,1992004.0,81.0,https://i.scdn.co/image/e85ed2c96c618b12433c7e6126ccb7771b469f3e
Mwaka Moon - Remix,Kalash,62,Mwaka Moon (Remix),rap,trap,337390.0,62.0,https://i.scdn.co/image/fd2df5eccde33d5685f76fea98c355311f16ad12
Buggin' - Edit,Hot Since 82,46,Buggin',edm,progressive electro house,,,
Hang on to Yourself,Palaye Royale,55,Hang on to Yourself,rock,permanent wave,,,
Solidarity,Angelic Upstarts,33,Reason Why?,pop,electropop,,,
Grazed by Heaven,Uriah Heep,36,Living the Dream,rock,classic rock,,,
Liar,Camila Cabello,87,Liar,pop,dance pop,15948075.0,90.0,https://i.scdn.co/image/667daebca4856db3f4cbe8f51a4881091e62c401
NO,Meghan Trainor,69,Thank You (Deluxe Version),pop,dance pop,8922220.0,80.0,https://i.scdn.co/image/d36be4a159ad3f66c13c81c9a2bdd49dcd4e6700
shut up,Greyson Chance,68,portraits,r&b,hip pop,,,
striptease,carwash,48,striptease,pop,indie poptimism,,,
La Playa,Myke Towers,79,La Playa,latin,reggaeton,1588732.0,90.0,https://i.scdn.co/image/fb101c441d2fed8425b41fcdc705e6a73c20f099
Guess Who's Back,Scarface,52,Greatest Hits,rap,southern hip hop,,,
Pretty Pimpin,Kurt Vile,66,b'lieve i'm goin down...,r&b,hip pop,,,
Tak Takie,U-niq,15,Het Kapitalisme,rap,southern hip hop,,,
Trap Paris (feat. Quavo & Ty Dolla $ign),Machine Gun Kelly,59,bloom,rap,hip hop,2027274.0,82.0,https://i.scdn.co/image/5b23ea08515f988732474d4310e615356f19c21b
F--- The Ying Yang Twins,Ying Yang Twins,18,United States Of Atlanta,rap,southern hip hop,,,
Pour Some Sugar On Me,Def Leppard,2,Hysteria (Deluxe Edition),rock,hard rock,,,
The Universe Is Ours,Headhunterz,39,The Universe Is Ours,edm,big room,,,
Sweet Child O' Mine,Pickin' On Series,36,The Bluegrass Tribute to Guns N' Roses,r&b,hip pop,,,
Never Forget You,Zara Larsson,14,Never Forget You,pop,indie poptimism,7051441.0,83.0,https://i.scdn.co/image/4335f7f59f44a02afd4a94fed0bee7615414c88b
Animals (feat. Moa Lisa) - Alora & Senii Remix,Charlie Who?,27,Animals (feat. Moa Lisa) [Remixes],edm,electro house,,,
Take Over,Gavlyn,6,Modest Confidence,r&b,urban contemporary,,,
ANGST II,MESSIAH!,41,ANGST II,rap,hip hop,,,
Teenagers,My Chemical Romance,77,The Black Parade,rock,permanent wave,,,
Celebramos - Artury Pepper Remix,Ariel Ramírez,0,Celebramos (Artury Pepper Remix),latin,latin hip hop,,,
This Is What You Came For - R3hab X Henry Fong Remix,Calvin Harris,2,This Is What You Came For (Remixes),edm,electro house,19909725.0,87.0,https://i.scdn.co/image/1fd90cd274102d458ec3a9243ced32e659738133
Kung Wala Ka,Hale,51,Hale,rock,classic rock,,,
Dreamcatcher (feat. Swae Lee & Travis Scott),Metro Boomin,2,NOT ALL HEROES WEAR CAPES,r&b,urban contemporary,1814243.0,81.0,https://i.scdn.co/image/8986705c72b71411c261c0f9eb65b6a2c04cfe90
Drive Me Crazy,Funky XV,38,Drive Me Crazy,latin,latin pop,,,
Listen to the Music,The Doobie Brothers,75,Toulouse Street,rock,album rock,,,
Dance No More,OUTRAGE,5,Dance No More,edm,big room,,,
Rebound,Leo Reyes,22,Rebound,edm,progressive electro house,,,
Bathing Suit Body,Badpojken,41,Bathing Suit Body,edm,electro house,,,
Love Shoulda Brought You Home,Toni Braxton,43,Toni Braxton,r&b,new jack swing,,,
Tell Me,RL Grime,38,Tell Me,rap,trap,,,
"Pretty Bitches In The Trap (Extended Remix) (feat. Gucci Mane, Tokyo Jetz & Trouble)",Summerella,47,"Pretty Bitches In The Trap (Extended Remix) [feat. Gucci Mane, Tokyo Jetz & Trouble]",r&b,neo soul,,,
Doo Wop (That Thing),Ms. Lauryn Hill,7,The Miseducation of Lauryn Hill,r&b,neo soul,,,
It's Strange (feat. K.Flay),Louis The Child,2,It's Strange (feat. K.Flay),pop,indie poptimism,349472.0,73.0,https://i.scdn.co/image/21821ae7fd8d4a61a8aec1fe3bffb1c574330e5c
Anytime,Brian McKnight,0,Night Grooves,r&b,new jack swing,,,
I'll Be Gone,MW Vibes,0,Massive Workout Vibes,edm,pop edm,,,
White Trash Millionaire,Black Stone Cherry,56,Between The Devil & The Deep Blue Sea (Special Edition),rap,southern hip hop,,,
Olympia,Falling North,45,Olympia,rap,trap,,,
Close To Me,G-Unit,0,T.O.S. (Terminate On Sight),rap,gangster rap,,,
Closer (Ode 2 U),Ravyn Lenae,48,Crush EP,r&b,neo soul,,,
Last Kiss,Pearl Jam,0,rearviewmirror (greatest hits 1991-2003),rock,permanent wave,,,
Somebody - Remix,Depeche Mode,36,Some Great Reward (Deluxe),rock,permanent wave,,,
Nothing But God,Dave Hollister,14,The Book Of David: Vol. 1 The Transition,r&b,neo soul,,,
ease your mind,joan,52,ease your mind,pop,indie poptimism,,,
Cash Money,Mike Zombie,0,Rebel Without a Cause,r&b,urban contemporary,,,
Lord I Need You Now,Cynthia Jones,4,Journey Of Soul,r&b,neo soul,,,
Dahab,AK Ausserkontrolle,42,A.S.S.N.,rap,gangster rap,534676.0,71.0,https://i.scdn.co/image/9c05ff7c660680314cdf51ece4ae61ab7d530dfc
Fine,TOMMY FANTOM,32,Fine,r&b,hip pop,,,
Gangsta Gangsta,18 Karat,53,PUSHA,rap,gangster rap,223575.0,65.0,https://i.scdn.co/image/3e1841a925e3342fe3009a20258f5dc4846340c5
Boy With Luv (feat. Halsey),BTS,85,MAP OF THE SOUL : PERSONA,pop,indie poptimism,17925780.0,94.0,https://i.scdn.co/image/0c9057cb30520f9f883a220051260fc66a2f3ffa
Nota de Amor,Wisin,59,Los Vaqueros: La Trilogía,latin,latin pop,5451127.0,82.0,https://i.scdn.co/image/6ed4915a8a47802032c060a5178bfd97acde6528
Hotline Bling,Drake,9,Hotline Bling,pop,electropop,46297755.0,98.0,https://i.scdn.co/image/012ecd119617ac24ab56620ace4b81735b172686
Love Song,The Cure,3,Greatest Hits,rock,hard rock,,,
God Level 3,Apache,50,Rap Chileno El Sur Es Hardcore Godlevel Enfermos Del Rap,latin,latin hip hop,,,
Lush Life,Zara Larsson,76,So Good,pop,electropop,7051441.0,83.0,https://i.scdn.co/image/4335f7f59f44a02afd4a94fed0bee7615414c88b
On Chill (feat. Jeremih),Wale,44,On Chill (feat. Jeremih),r&b,urban contemporary,2542382.0,77.0,https://i.scdn.co/image/20a2669aad3e87270699534ed03546ff87b20df2
Bellaquita,Dalex,82,Bellaquita,latin,reggaeton,1466243.0,89.0,https://i.scdn.co/image/e3261a34c3a97ec3d257e03e580f1b36157bbecf
Because of You,Kelly Clarkson,71,Breakaway,pop,post-teen pop,6423971.0,78.0,https://i.scdn.co/image/e83f002015ece3302c98bfc425f497091d48ecaf
Be Focused,Ghost Rider,42,Be Focused - Single,edm,progressive electro house,,,
A Mirage,The Essence,20,Nocturnal - The Best Of Midnight Music,pop,electropop,,,
Lose Control,MEDUZA,91,Lose Control,pop,post-teen pop,241223.0,82.0,https://i.scdn.co/image/f1dc8347ce1fd49e13f3e799175290a36e02b52d
Alarm,Anne-Marie,65,Alarm,pop,post-teen pop,5714783.0,83.0,https://i.scdn.co/image/76c6828a43e52bf5f9f04fc415b6f26777794b2c
When You Come Home,Trevor Dahl,0,When You Come Home,pop,indie poptimism,,,
Love Me Harder,Ariana Grande,9,My Everything (Deluxe),pop,electropop,44813638.0,92.0,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
None Of Ur Friends Business,Ginuwine,44,100% Ginuwine,r&b,new jack swing,1527914.0,68.0,https://i.scdn.co/image/c8bc9979554744c06b3c62b7e94b82cd9303ec81
Take It Easy - 2013 Remaster,Eagles,75,Eagles (2013 Remaster),rock,permanent wave,4757747.0,78.0,https://i.scdn.co/image/6b215464b769958ef1d7d9f163e3f49ebacf8842
She Will Be Loved,Maroon 5,22,Songs About Jane,latin,latin hip hop,23843388.0,89.0,https://i.scdn.co/image/608c7b23420c9556a7eabd9097f7e171a91d3871
Jungle,H.E.R.,49,H.E.R. Volume 1,r&b,neo soul,2396348.0,82.0,https://i.scdn.co/image/db35f97fba5e334b8a1a10285e8bc462c8b89f12
"Girls, Girls, Girls",Mötley Crüe,0,The Best Of Mötley Crüe 20th Century Masters The Millennium Collection (Ecopak),rock,hard rock,2504069.0,74.0,https://i.scdn.co/image/82e32119f6232816abbf017a4bbb5481c5cb9d44
Rave After Rave,W&W,51,Rave After Rave,edm,big room,,,
Mutant Brain,Sam Spiegel,0,Mutant Brain,rap,southern hip hop,,,
Kærlighed (feat. Gilli & Kesi),ATYPISK,69,A NIVEAU,rap,hip hop,,,
Over The Mountain,Ozzy Osbourne,0,Diary Of A Madman,rock,hard rock,2823962.0,78.0,https://i.scdn.co/image/59cb2a9f548a1e53e91f90fe6bcf9d7aef4f5856
Surtada - Remix Brega Funk,Dadá Boladão,84,Surtada (Remix Brega Funk),edm,pop edm,106457.0,70.0,https://i.scdn.co/image/a5866831d2fd4812ae9c1cdca60aca8dc7533008
Bones,Young Guns,0,Bones,rock,hard rock,,,
Cute Without The 'E' (Cut From The Team),Taking Back Sunday,66,Tell All Your Friends,rock,permanent wave,,,
Dance With Me,Kyle Kinch,21,Dance With Me,edm,electro house,,,
One,Three Dog Night,46,The Best Of 3 Dog Night,rock,classic rock,,,
Bring Da Ruckus,Wu-Tang Clan,63,Enter The Wu-Tang (36 Chambers) [Expanded Edition],rap,southern hip hop,,,
When Doves Cry,Ginuwine,40,Ginuwine... The Bachelor,r&b,new jack swing,1527914.0,68.0,https://i.scdn.co/image/c8bc9979554744c06b3c62b7e94b82cd9303ec81
Patek,MC Igu,54,Aurélio³,rap,trap,,,
Ra Ta Ta Ta (feat. Stepz),NODE,55,Samme Vej,rap,hip hop,,,
Down Under 2016 - My Land Radio Remix,Australia United,0,Down Under 2016,edm,pop edm,,,
Something Like That,Mike Candys,58,Something Like That,edm,pop edm,,,
Paranoid,Royal Bliss,43,Royal Bliss,rock,hard rock,,,
Tell Me Why - Keanu Silva Remix,Sound Of Legend,46,Tell Me Why (Keanu Silva Remix),edm,big room,,,
Hey Now - Arty Remix,London Grammar,39,If You Wait - Remixes,edm,progressive electro house,1019772.0,69.0,https://i.scdn.co/image/851f37590f89a1d91167a899bd671a1d3b29860e
So Sophisticated,Rick Ross,0,"God Forgives, I Don't",rap,southern hip hop,3963922.0,82.0,https://i.scdn.co/image/d385491147314cbbe2826da3a379902891f97213
That's Just Me,blackwave.,38,Mic Check,r&b,neo soul,,,
Precious,Esperanza Spalding,44,Esperanza,r&b,neo soul,250007.0,52.0,https://i.scdn.co/image/e4fb21241d414badae6057bce6c2e811d908dbb0
Undead,Parts Per Million,21,Undead,rock,hard rock,,,
Silence,Marshmello,81,Silence,pop,dance pop,23115050.0,87.0,https://i.scdn.co/image/b754b1d11330212a515390688aa2e08d09edb97a
Pump It,The Black Eyed Peas,12,Monkey Business,pop,electropop,,,
One Way Ticket,ONE OK ROCK,53,Ambitions,rock,album rock,2903429.0,73.0,https://i.scdn.co/image/e7adafc800f54e5b500c4fcbea9953cb14e646a6
Lesson on Counting,"quickly, quickly",58,Lesson on Counting,rap,hip hop,,,
Shakin',Eddie Money,54,No Control,rock,classic rock,,,
American Girl,Tom Petty and the Heartbreakers,73,Tom Petty & The Heartbreakers,r&b,urban contemporary,1354128.0,72.0,https://i.scdn.co/image/b3c930705d502022b13f9c7134db8ae84a8ae71f
Step Up,Pete Rock / InI,0,Hip Hop Underground Soul Classics,r&b,hip pop,,,
Armed and Ready - 2009 Remastered Version,Michael Schenker Group,0,Michael Schenker Group [2009 Digital Remaster + Bonus Tracks] (2009 Digital Remaster + Bonus Tracks),rock,hard rock,,,
Pressure,EBEN,4,Pressure,rap,trap,,,
Never Go Back - Robin Schulz Remix,Dennis Lloyd,70,Never Go Back (Remixes),latin,tropical,405416.0,73.0,https://i.scdn.co/image/a275593777ddc157570cedd0649e6ba8eee215c6
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],Shakira,77,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),latin,latin hip hop,18641135.0,86.0,https://i.scdn.co/image/234f86923486e8ba3860def8518c01d5054aac1f
Can We Pretend (feat. Cash Cash),P!nk,75,Can We Pretend (feat. Cash Cash),pop,dance pop,8409756.0,83.0,https://i.scdn.co/image/afc2d276d9c1b398d4f1048c20584f926296b9c0
New Rules,Dua Lipa,83,Dua Lipa (Deluxe),pop,dance pop,16437833.0,95.0,https://i.scdn.co/image/330f9806621bc0fe67f5c06f2f1f8df53d011b4e
Despacito - Remix,Luis Fonsi,76,Despacito Feat. Justin Bieber (Remix),r&b,hip pop,8340829.0,80.0,https://i.scdn.co/image/6004641991ca63396cccdd8553f9120d69ea58d0
Antes de Morirme,Miky Woodz,58,Before Famous,latin,latin hip hop,,,
Don't Wanna Be Cold,Krimsonn,17,Don't Wanna Be Cold,edm,big room,,,
Gbomei Adesai,The Psychedelic Aliens,27,Psycho African Beat,rock,classic rock,,,
Bad for Me,Catlea,41,Bad for Me,latin,latin pop,,,
I Can't Stand the Rain,Seal,41,Soul,r&b,urban contemporary,,,
Under Control (feat. Hurts),Calvin Harris,15,Under Control (feat. Hurts),edm,progressive electro house,19909725.0,87.0,https://i.scdn.co/image/1fd90cd274102d458ec3a9243ced32e659738133
Crank That (Soulja Boy),Soulja Boy,76,souljaboytellem.com,rap,hip hop,,,
Tengo Tu Love,Sie7e,36,Tengo Tu Love,latin,latin pop,,,
Bap U,Party Favor,59,Bap U,rap,trap,,,
Perfection,twoloud,48,Perfection,edm,big room,,,
Como Yo Le Doy - Remix,Pitbull,1,"Latin Hits 2014 Summer Edition - 56 Latin Smash Hits (Salsa, Bachata, Dembow, Merengue, Reggaeton, Urbano, Timba, Cubaton, Kuduro, Latin Fitness)",latin,reggaeton,7688004.0,85.0,https://i.scdn.co/image/1353990534aef10c946cf3a47865ac22471be5c4
Huesos Secos,Fermin IV,36,Decisiones,rap,hip hop,,,
Let Me Hold You (Turn Me On),Dante Klein,51,Let Me Hold You (Turn Me On),pop,electropop,25312.0,56.0,https://i.scdn.co/image/8c9a1c56691b0eb656b72d14a62202a05be28483
Memory,BrokenRail,31,Brokenrail,rock,hard rock,,,
Get It Right,Aretha Franklin,2,Get It Right,edm,progressive electro house,2211774.0,75.0,https://i.scdn.co/image/c5662abce23781f86275ea6540c6e299845f8d82
GO 2.0,Burak Yeter,32,GO 2.0,edm,progressive electro house,142021.0,64.0,https://i.scdn.co/image/59742a1b45e69a6d621926a85b6409a9ae9591c2
Twerk Anthem - Original Mix,Tony Junior,0,Twerk Anthem,edm,progressive electro house,,,
Human Music: Music For People,BENNIK,37,Human Music: Music For People,latin,tropical,,,
Boss,Jass Manak,31,Boss,rap,hip hop,,,
Cats in the Cradle,Harry Chapin,55,Cat's In The Cradle / Vacancy [Digital 45],rock,album rock,,,
Narcos,Migos,3,Culture II,rap,trap,10308083.0,83.0,https://i.scdn.co/image/32aabfa226518266c1af603267e4405edd8c9c2d
Payback,Dimitri Vangelis & Wyman,1,Payback,edm,electro house,,,
Faces,Knowmadic,64,Faces,rap,hip hop,,,
Lettin Go! (Album Version),Janelle Monáe,31,Lettin Go (Single),pop,electropop,867353.0,70.0,https://i.scdn.co/image/01725ba396132ac8166d89d5c5d9b4afc3b83229
Hear Me Now,Alok,75,Hear Me Now,pop,electropop,7477185.0,80.0,https://i.scdn.co/image/339b4f2b8fa072d2130ad69cd603919e6279258e
"If I'm James Dean, You're Audrey Hepburn",Sleeping With Sirens,60,With Ears To See And Eyes To Hear,pop,post-teen pop,,,
Only Happy When It Rains,Garbage,51,Garbage (20th Anniversary Deluxe Edition/Remastered),rock,permanent wave,,,
I Was Made For Lovin' You,KISS,21,Dynasty (Remastered Version),rock,classic rock,,,
Understand (How Bout No) [The DM Song],Freak Daddy,38,Understand (How Bout No) [The DM Song],pop,indie poptimism,,,
Watersteps,Erik Kearing,41,Watersteps,latin,tropical,,,
Pam Pam,Wisin & Yandel,43,20 Number 1's Now,latin,reggaeton,3541564.0,81.0,https://i.scdn.co/image/58f9d7a3987afb50f6acefd3cf575a999e6c4796
Subwalk,Bamba Lamer,54,Subwalk,latin,tropical,,,
Not Right Now,Green Tea,0,Dosage II: Choices,r&b,neo soul,,,
No Hay Falla,TREN LOKOTE,37,Cementerio De Raperos,rap,gangster rap,,,
Break the Distance,ELYAZ,30,Break the Distance,pop,dance pop,,,
Coming Home,jeonghyeon,28,Coming Home,r&b,hip pop,,,
When You're Gone,The Cranberries,55,To The Faithful Departed,rock,album rock,2002510.0,75.0,https://i.scdn.co/image/143c01f407ed64a4b3bcbc92d24c05ef80981251
Low Rider,War,59,Why Can't We Be Friends?,r&b,urban contemporary,,,
Armed And Ready - 2008 Remastered Version,Michael Schenker Group,2,The Best Of The Michael Schenker Group ('80-'84),rock,hard rock,,,
Los Puti (with Lele Pons & Lyanno),Favian Lovo,57,Los Puti (with Lele Pons & Lyanno),latin,reggaeton,,,
Liar,ROËDS,47,Liar,latin,tropical,,,
Pindelo - Original Mix,MarllDexx,3,Pindelo,latin,latin hip hop,,,
Now That We Found Love,Heavy D & The Boyz,57,Peaceful Journey,rap,southern hip hop,,,
head first,Christian French,68,head first,pop,indie poptimism,,,
Why,Skinny Living,56,6,r&b,urban contemporary,,,
Dark Matter,Feathers,35,If All Now Here,pop,electropop,,,
tbh ily (Kidswaste Remix),Chet Porter,0,tbh ily (Kidswaste Remix),pop,indie poptimism,,,
Runaway (U & I) - Quintino Remix,Galantis,27,Runaway (U & I) [Remixes],edm,big room,2920325.0,78.0,https://i.scdn.co/image/2df5fb887384d10f117938d67e09d955b7291821
One Life,Mike Perry,64,One Life,pop,dance pop,895046.0,72.0,https://i.scdn.co/image/963332a9593e724e4fd58163518d589ec090bd71
One Kiss (with Dua Lipa) - Jauz Remix,Calvin Harris,45,One Kiss (with Dua Lipa) [Remixes],edm,pop edm,19909725.0,87.0,https://i.scdn.co/image/1fd90cd274102d458ec3a9243ced32e659738133
The Jam,Logic,55,Bobby Tarantino,rap,hip hop,4587917.0,84.0,https://i.scdn.co/image/efa0b73c2cdaf40b1767b4b1e1254b1cfc5b51db
"Yo x Ti, Tu x Mi",ROSALÍA,88,"Yo x Ti, Tu x Mi",latin,latin pop,3178154.0,81.0,https://i.scdn.co/image/212e68416e861c2b2a7bf02d92448bdbe53ad163
Rebound,Seth Hills,31,Rebound,edm,electro house,,,
Round and Round - Soul Mix Edit,Tevin Campbell,36,T.E.V.I.N.,r&b,new jack swing,,,
Wasted,The Psycho Realm,16,A Warstory - Book II,latin,latin hip hop,,,
Born in the U.S.A.,Bruce Springsteen,75,Born In The U.S.A.,rock,permanent wave,3064866.0,79.0,https://i.scdn.co/image/3c09e1a1dfefa33f99b78b1ce09024656c394b76
Circles,Post Malone,98,Hollywood's Bleeding,latin,latin hip hop,24460203.0,95.0,https://i.scdn.co/image/93fec27f9aac86526b9010e882037afbda4e3d5f
The Hills,The Weeknd,6,The Hills,r&b,urban contemporary,20105504.0,98.0,https://i.scdn.co/image/d9a875c37277c35b94c60c00d2cd256db098505d
Bailando - English Version,Enrique Iglesias,52,SEX AND LOVE (Deluxe Edition),latin,latin hip hop,9281109.0,79.0,https://i.scdn.co/image/2bfeac48a9fd693e262335c96b8f7fb745b7b5f3
Immigrant Song - Remaster,Led Zeppelin,77,Led Zeppelin III (Remastered),rock,classic rock,,,
Top of the World - Erlandsson Remix,Vide,46,Top of the World (The Remixes),latin,tropical,,,
Call It Like It Is,Another Lost Year,28,Call It Like It Is,rock,hard rock,,,
Mirage,Platon Emil,33,Mirage,pop,dance pop,,,
Thundersmith,Kobra And The Lotus,34,Evolution,rock,hard rock,,,
Ahora Es,Wisin & Yandel,64,"Wisin Vs Yandel ""Los Extraterrestres""",latin,reggaeton,3541564.0,81.0,https://i.scdn.co/image/58f9d7a3987afb50f6acefd3cf575a999e6c4796
Miraj - Original Mix,Sandro Silva,0,Miraj,edm,progressive electro house,,,
Save Me,Aimee Mann,56,Magnolia (Music from the Motion Picture),rock,permanent wave,,,
Shine (Kygo Remix),Benjamin Francis Leftwich,48,Shine (Kygo Remix),pop,indie poptimism,,,
Groove Me,Guy,39,Guy - Special Edition,r&b,new jack swing,,,
Ronca,Don Omar,3,"The Gold Series ""The Last Don""",latin,reggaeton,4036436.0,81.0,https://i.scdn.co/image/043aa595a838e80632c902d8397cb3232f299566
Whine Up,Nicky Jam,46,Whine Up,latin,latin pop,11493557.0,89.0,https://i.scdn.co/image/e2cc83fdb16667b0cc6c011da4747adedc759185
Some Nights,fun.,70,Some Nights,latin,latin hip hop,3366032.0,71.0,https://i.scdn.co/image/37bc85c957e17d3463ae40da1c8ade6bb5ecd546
Back Together,William Black,44,Pages,rap,trap,,,
Say You'll Be There,Campsite Dream,40,Say You'll Be There,pop,dance pop,,,
Not A Love Song,Austin Moon,52,Austin & Ally,pop,post-teen pop,,,
Good Life,Kanye West,3,Good Life (Int'l ECD maxi),rap,southern hip hop,11565597.0,90.0,https://i.scdn.co/image/bd1c6fdf3705cf9b7d0c8ac8e7bbed98e31a1559
Charades,Why G,50,Charades,rap,hip hop,,,
Hvil I Fred (feat. Jamaika),Xander,54,Hvil I Fred (feat. Jamaika),rap,hip hop,,,
Private Beach,Cosmic Cycler,37,Special Night,rock,album rock,,,
Beast (All as One),Dimitri Vegas & Like Mike,71,Beast (All as One),edm,electro house,2786849.0,79.0,https://i.scdn.co/image/89cbcebacfb4706f5adc8fe1a409f4f433a15412
Focus,Phlocalyst,56,Focus,rap,hip hop,,,
Smooth Criminal,Alien Ant Farm,72,Anthology,rock,permanent wave,,,
My Generation - Mono Version,The Who,56,The Who Sings My Generation (U.S. Version),rock,permanent wave,,,
When We Lie,Anything Box,23,Peace,rock,permanent wave,,,
I Go Crazy,Flesh For Lulu,39,Long Live The New Flesh,rock,permanent wave,,,
